date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:20:49	18503/18503	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:06%20GMT	https://vuighe.net/ikemen-sengoku-toki-wo-kakeru-ga-koi-wa-hajimaranai	E:/123wwed/12hay/vuighe.net/ikemen-sengoku-toki-wo-kakeru-ga-koi-wa-hajimaranai.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2017)
23:20:49	20270/20270	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:06%20GMT	https://vuighe.net/youkoso-jitsuryoku-shijou-shugi-no-kyoushitsu-e	E:/123wwed/12hay/vuighe.net/youkoso-jitsuryoku-shijou-shugi-no-kyoushitsu-e.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2017)
23:20:49	19486/19486	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:06%20GMT	https://vuighe.net/new-game	E:/123wwed/12hay/vuighe.net/new-game.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2017)
23:20:49	19519/19519	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:06%20GMT	https://vuighe.net/isekai-wa-smartphone-to-tomo-ni	E:/123wwed/12hay/vuighe.net/isekai-wa-smartphone-to-tomo-ni.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2017)
23:20:49	18563/18563	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:07%20GMT	https://vuighe.net/tenshi-no-3p	E:/123wwed/12hay/vuighe.net/tenshi-no-3p.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2017)
23:20:50	18714/18714	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:07%20GMT	https://vuighe.net/nana-maru-san-batsu	E:/123wwed/12hay/vuighe.net/nana-maru-san-batsu.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2017)
23:20:50	19001/19001	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:07%20GMT	https://vuighe.net/knights-magic	E:/123wwed/12hay/vuighe.net/knights-magic.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2017)
23:20:50	18673/18673	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:07%20GMT	https://vuighe.net/vatican-kiseki-chousakan	E:/123wwed/12hay/vuighe.net/vatican-kiseki-chousakan.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2017)
23:20:50	18536/18536	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:08%20GMT	https://vuighe.net/tsurezure-children	E:/123wwed/12hay/vuighe.net/tsurezure-children.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2017)
23:20:51	18762/18762	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:08%20GMT	https://vuighe.net/koi-to-uso	E:/123wwed/12hay/vuighe.net/koi-to-uso.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2017)
